Machine,PartID,Diameter_mm
CNC_A,1,50.01
CNC_A,2,49.99
CNC_A,3,50.02
CNC_A,4,50.00
CNC_A,5,49.98
CNC_A,6,50.01
CNC_A,7,50.03
CNC_A,8,49.97
CNC_A,9,50.00
CNC_A,10,49.99
CNC_A,11,50.02
CNC_A,12,49.98
CNC_A,13,50.01
CNC_A,14,50.00
CNC_A,15,49.99
CNC_A,16,50.02
CNC_A,17,50.01
CNC_A,18,49.98
CNC_A,19,49.97
CNC_A,20,50.03
CNC_A,21,50.01
CNC_A,22,50.00
CNC_A,23,49.99
CNC_A,24,50.02
CNC_A,25,49.98
CNC_A,26,50.01
CNC_A,27,50.00
CNC_A,28,49.99
CNC_A,29,50.02
CNC_A,30,49.98
CNC_A,31,50.01
CNC_A,32,50.00
CNC_A,33,49.97
CNC_A,34,50.03
CNC_A,35,50.01
CNC_A,36,49.99
CNC_A,37,50.02
CNC_A,38,49.98
CNC_A,39,50.00
CNC_A,40,49.99
CNC_A,41,50.01
CNC_A,42,49.98
CNC_A,43,50.02
CNC_A,44,50.00
CNC_A,45,49.99
CNC_A,46,50.03
CNC_A,47,49.97
CNC_A,48,50.01
CNC_A,49,49.99
CNC_A,50,50.00
CNC_B,51,49.96
CNC_B,52,49.97
CNC_B,53,49.95
CNC_B,54,50.04
CNC_B,55,50.05
CNC_B,56,49.94
CNC_B,57,50.03
CNC_B,58,49.96
CNC_B,59,50.06
CNC_B,60,49.93
CNC_B,61,49.97
CNC_B,62,49.98
CNC_B,63,49.96
CNC_B,64,50.04
CNC_B,65,50.05
CNC_B,66,49.95
CNC_B,67,50.02
CNC_B,68,49.97
CNC_B,69,50.03
CNC_B,70,49.94
CNC_B,71,49.96
CNC_B,72,49.98
CNC_B,73,49.97
CNC_B,74,50.04
CNC_B,75,50.06
CNC_B,76,49.95
CNC_B,77,50.02
CNC_B,78,49.96
CNC_B,79,50.03
CNC_B,80,49.94
CNC_B,81,49.97
CNC_B,82,49.98
CNC_B,83,49.96
CNC_B,84,50.04
CNC_B,85,50.05
CNC_B,86,49.95
CNC_B,87,50.02
CNC_B,88,49.97
CNC_B,89,50.03
CNC_B,90,49.94
CNC_B,91,49.96
CNC_B,92,49.97
CNC_B,93,49.95
CNC_B,94,50.04
CNC_B,95,50.05
CNC_B,96,49.95
CNC_B,97,50.02
CNC_B,98,49.97
CNC_B,99,50.03
CNC_B,100,49.94
CNC_C,101,50.00
CNC_C,102,50.01
CNC_C,103,49.99
CNC_C,104,50.00
CNC_C,105,50.02
CNC_C,106,49.98
CNC_C,107,50.01
CNC_C,108,49.99
CNC_C,109,50.00
CNC_C,110,50.01
CNC_C,111,50.00
CNC_C,112,49.99
CNC_C,113,50.01
CNC_C,114,50.02
CNC_C,115,49.98
CNC_C,116,50.00
CNC_C,117,49.99
CNC_C,118,50.01
CNC_C,119,50.00
CNC_C,120,49.99
CNC_C,121,50.01
CNC_C,122,50.00
CNC_C,123,49.98
CNC_C,124,50.02
CNC_C,125,50.01
CNC_C,126,50.00
CNC_C,127,49.99
CNC_C,128,50.01
CNC_C,129,50.00
CNC_C,130,49.99
CNC_C,131,50.01
CNC_C,132,50.00
CNC_C,133,49.98
CNC_C,134,50.02
CNC_C,135,50.01
CNC_C,136,50.00
CNC_C,137,49.99
CNC_C,138,50.01
CNC_C,139,50.00
CNC_C,140,49.99
CNC_C,141,50.02
CNC_C,142,50.01
CNC_C,143,50.00
CNC_C,144,49.98
CNC_C,145,50.02
CNC_C,146,50.01
CNC_C,147,49.99
CNC_C,148,50.00
CNC_C,149,50.01
CNC_C,150,49.99
CNC_D,151,49.70
CNC_D,152,49.85
CNC_D,153,49.90
CNC_D,154,50.25
CNC_D,155,50.30
CNC_D,156,49.65
CNC_D,157,50.15
CNC_D,158,49.80
CNC_D,159,50.40
CNC_D,160,49.60
CNC_D,161,49.75
CNC_D,162,50.20
CNC_D,163,49.88
CNC_D,164,50.35
CNC_D,165,49.55
CNC_D,166,50.28
CNC_D,167,49.72
CNC_D,168,50.10
CNC_D,169,49.68
CNC_D,170,50.22
CNC_D,171,49.90
CNC_D,172,50.31
CNC_D,173,49.63
CNC_D,174,50.45
CNC_D,175,49.74
CNC_D,176,50.18
CNC_D,177,49.81
CNC_D,178,50.27
CNC_D,179,49.69
CNC_D,180,50.36
CNC_D,181,49.58
CNC_D,182,50.41
CNC_D,183,49.73
CNC_D,184,50.12
CNC_D,185,49.67
CNC_D,186,50.33
CNC_D,187,49.82
CNC_D,188,50.29
CNC_D,189,49.61
CNC_D,190,50.37
CNC_D,191,49.70
CNC_D,192,50.24
CNC_D,193,49.66
CNC_D,194,50.39
CNC_D,195,49.77
CNC_D,196,50.16
CNC_D,197,49.62
CNC_D,198,50.42
CNC_D,199,49.71
CNC_D,200,50.34
